Country,Year,CO2_Emissions
United States,2015,16.668896018663837
United States,2016,16.35422123495438
United States,2017,15.254218298800899
United States,2018,14.099769921838991
United States,2019,14.326033157643968
United States,2020,12.928679140970853
United States,2021,14.561303180113933
United States,2022,13.342365514623149
United States,2023,12.877857003968963
United States,2024,14.50330772219237
United States,2025,12.653166792754789
Canada,2015,13.059636116673706
Canada,2016,14.031362548430604
Canada,2017,13.686620103400415
Canada,2018,13.484810509260205
Canada,2019,12.899130613225983
Canada,2020,13.40507880379948
Canada,2021,15.214836255442242
Canada,2022,13.629167579573378
Canada,2023,14.657040254012916
Canada,2024,13.558735063847914
Canada,2025,14.003409199316394
Mexico,2015,3.7472295395010105
Mexico,2016,3.7713728682703156
Mexico,2017,3.6788699876572473
Mexico,2018,3.75609194588301
Mexico,2019,3.263720181713194
Mexico,2020,3.18586131017993
Mexico,2021,3.448885617286399
Mexico,2022,3.8625165489544457
Mexico,2023,3.3726981324215566
Mexico,2024,3.5038659932026457
Mexico,2025,3.545525521372804
Brazil,2015,2.6914622269568724
Brazil,2016,2.330758535330317
Brazil,2017,2.2735571918839814
Brazil,2018,2.625011962194276
Brazil,2019,2.0724867771678754
Brazil,2020,2.1228116119645963
Brazil,2021,2.4780615753832875
Brazil,2022,2.579396568435363
Brazil,2023,2.6924026537987094
Brazil,2024,2.7512844801099794
Brazil,2025,2.4697866866969775
Argentina,2015,4.504912793479848
Argentina,2016,4.551738304015926
Argentina,2017,4.3443566644600775
Argentina,2018,4.086843594207665
Argentina,2019,3.907281122464058
Argentina,2020,4.083817301438935
Argentina,2021,4.099283730970444
Argentina,2022,4.018828711007146
Argentina,2023,4.0255919315104265
Argentina,2024,4.210011159401303
Argentina,2025,4.440107872014497
Colombia,2015,2.0002539799440444
Colombia,2016,1.8326424028684303
Colombia,2017,1.6837508398763248
Colombia,2018,1.9033234664816492
Colombia,2019,1.976962737181271
Colombia,2020,1.931166226640112
Colombia,2021,1.726905704534213
Colombia,2022,2.1574346096978196
Colombia,2023,2.199591438987608
Colombia,2024,2.1971732305907414
Colombia,2025,2.1829967560134023
Peru,2015,2.093806124614964
